STAGE;SLICE;LOW;HIGH;BIVALVIA;HYOLITH;CEPHALOP;GASTROPO;ARTICULA;STENOLAE;GYMNOLAE;ANTHOZ;CRINOID;MALACOST;ECHINOID;RHIZOPOD;LINGULA;DEMOSPON;TRILOBIT
Nemakit-Daldynian;1;543;522;0;22;0;0;0;0;0;1;0;0;0;0;0;0;0
Tommotian;2;522;520;0;22;0;0;1;0;0;0;0;0;0;1;4;0;0
Atdabanian;3;520;518;1;23;0;0;4;0;0;0;0;1;0;1;9;4;32
Botomian-Toyonian;4;518;510;1;18;0;0;7;0;0;0;0;2;0;1;15;4;61
Middle Cambrian;5;510;500;0;7;0;0;4;0;0;0;0;2;0;3;18;2;32
Upper Cambrian;6;500;490;0;5;2;8;8;0;0;0;0;1;0;3;17;2;57
Tremadocian;7;490;482;2;4;9;25;22;2;1;1;1;1;0;3;34;5;105
"""Arenigian""";8;482;473;18;7;66;37;70;33;1;3;8;1;0;4;48;7;150
lower Middle Ordovician;9;473;465;28;9;107;33;97;71;1;5;10;0;1;4;48;15;176
Darriwilian;10;465;458;34;11;101;39;113;102;1;14;14;0;1;4;53;22;204
Caradocian;11;458;449;49;10;95;64;180;131;2;64;41;1;2;10;53;37;211
lower Ashgillian;12;449;446;48;6;94;67;160;127;2;103;37;1;2;12;33;35;169
Middle/Upper Ashgillian;13;446;443;47;6;87;65;185;126;3;99;34;1;2;12;29;35;159
Rhuddanian;14;443;439;30;1;28;42;116;83;3;37;16;1;0;12;11;25;51
Aeronian-Telychian;15;439;429;34;1;35;51;145;86;3;76;26;1;0;13;12;33;74
Wenlockian;16;429;424;50;1;61;70;206;96;5;95;63;2;0;17;12;49;87
Ludlovian;17;424;418.6;51;1;69;81;214;90;5;91;66;2;0;20;10;50;81
Pridolian;18;418.6;417;39;1;50;61;170;79;5;61;42;3;0;20;8;43;62
Lochkovian;19;417;412;36;1;37;67;216;81;5;76;48;3;0;21;8;39;105
Pragian;20;412;408;37;1;39;83;267;86;6;100;50;6;0;20;7;40;126
Emsian;21;408;395;41;1;55;98;318;102;6;150;71;6;1;20;6;50;152
Eifelian;22;395;388;38;1;69;104;266;115;6;162;70;4;2;25;7;60;126
Givetian;23;388;382;39;1;61;94;187;123;6;143;61;7;2;44;10;56;56
Frasnian;24;382;374;38;1;48;79;123;93;6;90;34;8;3;51;10;50;18
Famennian;25;374;362;36;1;38;67;75;90;6;63;31;6;2;64;9;25;14
Tournaisian;26;362;344;45;1;29;79;131;109;6;77;90;8;5;93;8;5;29
